SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude
彰化,彰化縣,67,細懸浮微粒,普通,1,0.57,0.5,71,52,51,25,12,13,0.6,3.7,343,2019-03-04 16:00,22,41,1,120.541519,24.066
彰化(大城),彰化縣,71,臭氧八小時,普通,1.6,0.3,0.3,87,61,30,20,5.6,6.9,1.4,5.1,360,2019-03-04 16:00,14,22,2,120.273117,23.843139
臺西,雲林縣,61,臭氧八小時,普通,2.1,0.42,0.4,77,58,36,19,5.3,6.3,1,8,14,2019-03-04 16:00,18,28,3,120.202842,23.717533
臺東,臺東縣,31,,良好,1.4,0.45,0.4,37,33,24,10,5.4,7,1.6,3.4,11,2019-03-04 16:00,7,22,1,121.15045,22.755358
臺南,臺南市,67,細懸浮微粒,普通,1.8,0.45,0.4,65,51,44,11,8.4,9.3,0.9,3.2,312,2019-03-04 16:00,22,43,2,120.202617,22.984581
臺南(玉井),臺南市,61,細懸浮微粒,普通,,,0.2,76,39,,,,,,0.6,309,2019-03-04 16:00,19,42,3,120.469736,23.122169
鳳山,高雄市,56,細懸浮微粒,普通,1.8,0.49,0.6,65,44,41,11,16,17,1.5,1.8,256,2019-03-04 16:00,18,40,4,120.358083,22.627392
潮州,屏東縣,66,細懸浮微粒,普通,1.4,0.27,0.4,65,48,52,15,9.6,11,1.6,2.9,211,2019-03-04 16:00,22,43,2,120.561175,22.523108
線西,彰化縣,59,細懸浮微粒,普通,4.1,0.69,0.6,66,52,,,15,16,1.1,6.2,21,2019-03-04 16:00,19,45,3,120.469061,24.131672
橋頭,高雄市,81,細懸浮微粒,普通,2,0.29,0.4,67,50,27,15,7.2,7.8,0.6,3.1,266,2019-03-04 16:00,28,35,2,120.305689,22.757506
頭份,苗栗縣,65,細懸浮微粒,普通,3.1,0.59,0.6,54,44,44,23,14,17,2.3,3,29,2019-03-04 16:00,21,36,1,120.898572,24.696969
龍潭,桃園市,,,設備維護,,,,,,,,,,,,,2019-03-04 16:00,,,,121.21635,24.863869
豐原,臺中市,50,,良好,4.1,0.51,0.4,73,51,49,25,17,19,2.3,3,326,2019-03-04 16:00,15,31,2,120.741711,24.256586
關山,臺東縣,31,,良好,,-,,34,33,18,7,4.9,7.4,2.5,2,34,2019-03-04 16:00,8,18,,121.161933,23.045083
觀音,桃園市,54,細懸浮微粒,普通,3,0.55,0.5,53,49,47,20,4.8,5.8,1.1,7.7,53,2019-03-04 16:00,17,36,2,121.082761,25.035503
